Kelime ID,Almanca Kelime,Frekans,Türkçe Anlamý
102,die,5244,(diþil/çoðul belirli artikel)
101,der,4980,(eril belirli artikel)
103,und,3592,ve
104,in,2948,"içinde, -de/-da"
108,das,1891,"(nötr belirli artikel); bu, þu"
105,den,1740,"(eril belirli artikel, -i hali)"
109,mit,1476,ile
111,im,1471,içinde (in dem)
107,von,1431,"-den/-dan, tarafýndan"
106,zu,1424,"-e/-a, -mek için"
110,auf,1378,"üzerinde, üzerine"
113,für,1350,için
112,ist,1265,-dir (o)
114,sich,1192,kendini/kendine (dönüþlü zamir)
119,es,1189,o (nötr)
116,ein,1162,bir (eril/nötr)
117,eine,1089,bir (diþil)
122,auch,1019,"de/da, ayrýca"
120,nicht,982,deðil
118,dem,969,"(eril/nötr belirli artikel, -e hali)"
121,des,842,"(eril/nötr belirli artikel, tamlayan hali)"
134,sie,814,o (diþil)/onlar
124,am,782,-de/-da (an dem)
123,an,754,"-de/-da, yanýnda"
126,bei,729,"yanýnda, esnasýnda"
125,als,693,olarak; -diðinde
133,nach,667,-den sonra; -e doðru
138,er,642,o (eril)
127,aus,619,"-den/-dan, dýþýna"
130,dass,602,"ki, -dýðý (baðlaç)"
128,hat,589,sahip (haben fiilinin 3. tekil hali)
141,wie,586,"nasýl, gibi"
131,werden,562,olmak (edilgen/gelecek zaman yardýmcý fiili)
132,einem,535,"bir (eril/nötr, -e hali)"
137,um,529,"etrafýnda; için, saat"
136,sind,514,-dirler (sein fiili çoðul)
140,einen,497,"bir (eril, -i hali)"
143,noch,493,"hâlâ, henüz"
139,wird,491,olacak (werden fiili 3. tekil)
144,vor,490,"önünde, önce"
142,einer,480,"bir (diþil, -e/tamlayan hali)"
147,aber,479,"ama, fakat"
145,war,432,idi (sein fiili geçmiþ zaman)
146,zum,423,-e (zu dem)
148,über,407,üzerinde; hakkýnda
152,so,403,"böyle, bu kadar"
149,haben,352,sahip olmak
154,nur,333,sadece
150,wurde,332,oldu (edilgen geçmiþ zaman)
151,oder,327,veya
170,wir,323,biz
153,mehr,319,daha fazla
155,gegen,316,-e karþý
158,bis,305,-e kadar
160,man,304,"insan, kiþi (genel özne)"
159,sein,302,olmak; onun (iyelik)
174,ich,298,ben
162,zur,265,-e (zu der)
161,sei,257,olsun (konjunktiv)
163,wieder,249,"tekrar, yine"
167,durch,233,"aracýlýðýyla, içinden"
165,hatte,232,sahipti (haben geçmiþ zaman)
197,was,227,ne
166,kann,222,yapabilir (können fiili)
203,diese,215,bu (diþil/çoðul)
168,können,211,yapabilmek
175,unter,210,"altýnda, arasýnda"
182,dann,210,"sonra, o zaman"
198,wenn,209,"eðer, -diðinde"
199,seit,208,-den beri
169,euro,203,avro
176,zwei,202,iki
183,schon,198,"zaten, bile"
222,doch,195,"ama, yine de"
172,habe,193,sahibim (haben 1. tekil)
173,Jahr,191,yýl
187,ihre,191,onun/onlarýn (diþil iyelik)
189,seine,191,onun (eril iyelik)
190,beim,189,-de (bei dem)
179,gibt,188,verir; vardýr (es gibt)
181,vom,187,-den (von dem)
177,Menschen,185,insanlar
205,nun,181,þimdi
201,ihr,180,onun (diþil); sizin (çoðul)
180,Jahren,179,"yýllar (çoðul, -e hali)"
188,immer,179,her zaman
191,bereits,177,"zaten, þimdiden"
184,soll,174,"gerekiyor, olmasý bekleniyor (sollen)"
195,ab,174,-den itibaren
185,Prozent,171,yüzde
235,dabei,160,"bu arada, bununla birlikte"
231,da,158,orada; çünkü
194,waren,154,idiler (sein çoðul geçmiþ)
200,sehr,153,çok
219,dieser,152,bu (eril)
213,alle,151,"hepsi, tümü"
202,eines,150,"bir (nötr, tamlayan hali)"
233,viele,150,birçok
207,neue,149,yeni (çekimli)
229,damit,149,bununla; ki -sýn diye
236,jetzt,142,þimdi
206,seiner,141,"onun (eril, tamlayan/diþil-e hali)"
204,sagte,140,dedi (sagen geçmiþ zaman)
249,hier,136,burada
210,Uhr,133,saat
218,keine,133,hiçbir (diþil/çoðul)
