Sýra,Fransýzca Kelime,Tür,Türkçe Anlamý,V1 (Mastar),V2 (Geniþ Zaman),V3 (Geçmiþ Ortaç)
1,lier,v,baðlamak,lier,lie,lié
1,un lien,nm,,,,
1,relier,v,,,,
1,une liaison,nf,,,,
1,lié,adj,,,,
2,obliger,v,"zorunda býrakmak, mecbur etmek",obliger,oblige,obligé
2,une obligation,nf,,,,
2,obligé,adj,,,,
2,obligatoire,adj,,,,
2,obligatoirement,adv,,,,
3,craindre,v,korkmak,craindre,craint,craint
3,une crainte,nf,,,,
4,un âge,nm,yaþ,,,
4,âgé,adj,,,,
5,déclarer,v,beyan etmek; bildirmek,déclarer,déclare,déclaré
5,une déclaration,nf,,,,
5,un déclarant,nm,,,,
6,oublier,v,unutmak,oublier,oublie,oublié
6,l'oubli,nm,,,,
7,quitter,v,"terk etmek, ayrýlmak",quitter,quitte,quitté
8,un bout,nm,"uç, parça",,,
8,aboutir,v,,,,
8,un aboutissement,nm,,,,
9,une population,nf,nüfus,,,
9,populaire,adj,,,,
9,la popularité,nf,,,,
9,populiste,adj,,,,
9,"un, une populiste","nm, nf",,,,
9,impopulaire,adj,,,,
10,responsable,adj,sorumlu,,,
10,"un, une responsable","nm, nf",,,,
10,une responsabilité,nf,,,,
10,irresponsable,adj,,,,
11,une route,nf,yol,,,
11,routier,adj,,,,
11,un routier,nm,,,,
11,une autoroute,nf,,,,
11,une déroute,nf,,,,
11,dérouter,v,,,,
12,tôt,adv,erken,,,
12,bientôt,adv,,,,
12,aussitôt,adv,,,,
12,tantôt,adv,,,,
12,sitôt,adv,,,,
13,lancer,v,"fýrlatmak, atmak",lancer,lance,lancé
13,un lancer,nm,,,,
13,un lancement,nm,,,,
13,relancer,v,,,,
13,une relance,nf,,,,
13,une lance,nf,,,,
13,une lancée,nf,,,,
13,un lanceur,nm,,,,
14,une limite,nf,"sýnýr, limit",,,
14,limiter,v,,,,
14,une limitation,nf,,,,
14,délimiter,v,,,,
14,illimité,adj,,,,
15,une fonction,nf,"iþlev, fonksiyon",,,
15,fonctionner,v,,,,
15,un fonctionnement,nm,,,,
15,"un, une fonctionnaire","nm, nf",,,,
15,fonctionnel,adj,,,,
15,un dysfonctionnement,nm,,,,
16,objectif,adj,"nesnel, tarafsýz",,,
16,un objectif,nm,,,,
16,objectivement,adv,,,,
16,l'objectivité,nf,,,,
17,paraître,v,"görünmek, ortaya çýkmak",paraître,paraît,paru
17,reparaître,v,,,,
17,paru,adj,,,,
18,un journal,nm,gazete,,,
18,"un, une journaliste","nm, nf",,,,
18,le journalisme,nm,,,,
18,journalistique,adj,,,,
19,annoncer,v,"duyurmak, ilan etmek",annoncer,annonce,annoncé
19,une annonce,nf,,,,
19,un annonceur,nm,,,,
20,envoyer,v,göndermek,envoyer,envoie,envoyé
20,renvoyer,v,,,,
20,un envoi,nm,,,,
20,un renvoi,nm,,,,
21,établir,v,"kurmak, tesis etmek",établir,établit,établi
21,un établissement,nm,,,,
21,rétablir,v,,,,
21,un rétablissement,nm,,,,
21,établi,adj,,,,
22,garder,v,"korumak, saklamak",garder,garde,gardé
22,"un, une garde","nm, nf",,,,
22,un gardien,nm,,,,
22,une garderie,nf,,,,
23,interdire,v,yasaklamak,interdire,interdit,interdit
23,une interdiction,nf,,,,
23,interdit,adj,,,,
23,un interdit,nm,,,,
24,payer,v,ödemek,payer,paie,payé
24,un paiement,nm,,,,
24,payant,adj,,,,
24,une paie/paye,nf,,,,
25,un esprit,nm,"ruh, zihin",,,
25,spirituel,adj,,,,
25,une spiritualité,nf,,,,
26,un domaine,nm,"alan, saha",,,
27,diriger,v,yönetmek,diriger,dirige,dirigé
27,dirigeant,adj,,,,
27,une direction,nf,,,,
27,un directeur,nm,,,,
27,directeur,adj,,,,
27,un dirigeant,nm,,,,
27,une directive,nf,,,,
27,directif,adj,,,,
27,un directoire,nm,,,,
27,unidirectionnel,adj,,,,
28,la nature,nf,doða,,,
28,naturel,adj,,,,
28,le naturel,nm,,,,
28,naturellement,adv,,,,
28,surnaturel,adj,,,,
28,dénaturer,v,,,,
29,un régime,nm,"rejim, düzen; diyet",,,
29,un régiment,nm,,,,
30,charger,v,"yüklemek, þarj etmek",charger,charge,chargé
30,une charge,nf,,,,
30,décharger,v,,,,
30,une décharge,nf,,,,
30,une surcharge,nf,,,,
30,un chargement,nm,,,,
30,surcharger,v,,,,
31,court,adj,kýsa,,,
31,un court,nm,,,,
32,un parent,nm,akraba; ebeveyn,,,
32,s'apparenter à,v,,,,
33,tomber,v,düþmek,tomber,tombe,tombé
33,retomber,v,,,,
33,les retombées,nf,,,,
33,tombé,adj,,,,
33,une tombée,nf,,,,
34,entraîner,v,antrenman yapmak/yaptýrmak; beraberinde getirmek,entraîner,entraîne,entraîné
34,un entraînement,nm,,,,
34,un entraîneur,nm,,,,
35,disposer,v,"elinde bulundurmak, tasarruf etmek",disposer,dispose,disposé
35,une disposition,nf,,,,
35,un dispositif,nm,,,,
35,une prédisposition,nf,,,,
36,une parole,nf,"söz, kelime",,,
37,un fond,nm,"dip, taban",,,
37,fonder,v,,,,
37,les fonds,nm,,,,
37,fondamental,adj,,,,
37,fondé,adj,,,,
37,une fondation,nf,,,,
37,un fondateur,nm,,,,
37,un fondement,nm,,,,
37,fondamentalement,adv,,,,
37,fondamentaliste,adj,,,,
37,un fondamentaliste,nm,,,,
38,faux,adj,"yanlýþ, sahte",,,
38,un faux,nm,,,,
38,fausser,v,,,,
39,un genre,nm,"tür, çeþit",,,
39,générique,adj,,,,
40,une communauté,nf,topluluk,,,
40,commun,adj,,,,
40,le commun,nm,,,,
40,une commune,nf,,,,
40,"un, une communiste","nm, nf",,,,
40,communiste,adj,,,,
40,communautaire,adj,,,,
40,le communisme,nm,,,,
40,communément,adv,,,,
40,communal,adj,,,,
41,un corps,nm,"vücut, beden",,,
41,incorporer,v,,,,
41,corporel,adj,,,,
42,une matière,nf,madde,,,
43,un sein,nm,"göðüs, meme",,,
44,parvenir,v,"ulaþmak, varmak",parvenir,parvient,parvenu
45,un secteur,nm,sektör,,,
45,sectoriel,adj,,,,
46,un cœur,nm,kalp,,,
46,écœurer,v,,,,
47,un père,nm,baba,,,
47,paternel,adj,,,,
47,la paternité,nf,,,,
48,une organisation,nf,"organizasyon, kuruluþ",,,
48,organiser,v,,,,
48,un organisme,nm,,,,
48,un organisateur,nm,,,,
48,une réorganisation,nf,,,,
48,réorganiser,v,,,,
49,noir,adj,siyah,,,
49,le noir,nm,,,,
49,noircir,v,,,,
50,un événement,nm,olay,,,
51,double,adj,"çift, ikili",,,
51,un double,nm,,,,
51,doubler,v,,,,
51,doublement,adv,,,,
51,redoubler,v,,,,
51,un dédoublement,nm,,,,
51,dédoubler,v,,,,
52,convaincre,v,ikna etmek,convaincre,convainc,convaincu
52,une conviction,nf,,,,
52,convaincant,adj,,,,
53,un conseil,nm,"öðüt, tavsiye",,,
53,conseiller,v,,,,
53,un conseiller,nm,,,,
53,déconseiller,v,,,,
54,soutenir,v,desteklemek,soutenir,soutient,soutenu
54,un soutien,nm,,,,
54,insoutenable,adj,,,,
54,soutenable,adj,,,,
55,la paix,nf,barýþ,,,
55,paisible,adj,,,,
56,une nuit,nf,gece,,,
56,le minuit,nm,,,,
56,une nuitée,nf,,,,
57,manquer,v,"kaçýrmak, eksik olmak",manquer,manque,manqué
57,un manque,nm,,,,
57,un manquement,nm,,,,
57,manquant,adj,,,,
58,actuel,adj,"güncel, mevcut",,,
58,actuellement,adv,,,,
58,une actualité,nf,,,,
58,actualiser,v,,,,
59,opposer,v,"karþý koymak, karþý çýkmak",opposer,oppose,opposé
59,une opposition,nf,,,,
59,un opposant,nm,,,,
59,opposant,adj,,,,
60,signifier,v,anlamýna gelmek,signifier,signifie,signifié
60,significatif,adj,,,,
60,une signification,nf,,,,
60,insignifiant,adj,,,,
61,traiter,v,"iþlem yapmak, davranmak",traiter,traite,traité
61,un traitement,nm,,,,
61,un traité,nm,,,,
61,maltraiter,v,,,,
61,une traite,nf,,,,
62,indiquer,v,"belirtmek, göstermek",indiquer,indique,indiqué
62,un indice,nm,,,,
62,une indication,nf,,,,
62,un indicateur,nm,,,,
63,tuer,v,öldürmek,tuer,tue,tué
63,un tueur,nm,,,,
63,une tuerie,nf,,,,
64,technique,adj,teknik,,,
64,une technique,nf,,,,
64,un technicien,nm,,,,
64,techniquement,adv,,,,
65,réduire,v,"azaltmak, indirgemek",réduire,réduit,réduit
65,une réduction,nf,,,,
65,un réduit,nm,,,,
65,irréductible,adj,,,,
66,préférer,v,tercih etmek,préférer,préfère,préféré
66,une préférence,nf,,,,
66,préférable,adj,,,,
66,préféré,adj,,,,
66,préférentiel,adj,,,,
67,une rue,nf,"sokak, cadde",,,
67,une ruelle,nf,,,,
68,"un, une riche","nm, nf",zengin (kiþi),,,
68,riche,adj,,,,
68,une richesse,nf,,,,
68,enrichir,v,,,,
68,un enrichissement,nm,,,,
68,un richard,nm,,,,
68,enrichi,adj,,,,
69,bref,adj,"kýsa, özet",,,
69,brièvement,adv,,,,
70,une violence,nf,þiddet,,,
70,violent,adj,,,,
70,violer,v,,,,
70,un viol,nm,,,,
70,violemment,adv,,,,
70,violenter,v,,,,
71,un siècle,nm,yüzyýl,,,
72,un article,nm,makale,,,
73,durer,v,"sürmek, devam etmek",durer,dure,duré
73,une durée,nf,,,,
73,durable,adj,,,,
73,perdurer,v,,,,
73,endurer,v,,,,
73,durablement,adv,,,,
74,une qualité,nf,"nitelik, kalite",,,
74,qualitatif,adj,,,,
75,la gauche,nf,sol (taraf),,,
75,gauche,adj,,,,
76,une solution,nf,çözüm,,,
76,résoudre,v,,,,
76,une résolution,nf,,,,
76,résolument,adv,,,,
76,résolu,adj,,,,
77,une voie,nf,"yol, güzergah",,,
78,capable,adj,"yetenekli, kapasiteli",,,
78,une capacité,nf,,,,
78,incapable,adj,,,,
78,une incapacité,nf,,,,
78,une surcapacité,nf,,,,
79,une erreur,nf,hata,,,
79,erroné,adj,,,,
79,errer,v,,,,
79,errant,adj,,,,
80,livrer,v,teslim etmek,livrer,livre,livré
80,délivrer,v,,,,
80,une livraison,nf,,,,
80,une délivrance,nf,,,,
81,se souvenir de,v,hatýrlamak,se souvenir,se souvient,souvenu
81,un souvenir,nm,,,,
82,une conséquence,nf,sonuç,,,
82,conséquent,adj,,,,
83,large,adj,geniþ,,,
83,le large,nm,,,,
83,largement,adv,,,,
83,élargir,v,,,,
83,un élargissement,nm,,,,
84,contraire,adj,"zýt, karþýt",,,
84,le contraire,nm,,,,
84,contrairement,adv,,,,
84,contrer,v,,,,
84,contrarier,v,,,,
85,un succès,nm,baþarý,,,
