Kelime;Türkçe Anlamı;V1 (Yalın Hali);V2 (Geçmiş Zaman);V3 (Sıfat Fiil)
a, an;belgisiz harf;-;-;-
ability;yetenek;-;-;-
able;yapabilen;-;-;-
about;hakkında;-;-;-
above;yukarısında;-;-;-
abroad;yurtdışı;-;-;-
absolute;kesin;-;-;-
absolutely;kesinlikle;-;-;-
academic;akademik;-;-;-
accept;kabul etmek;accept;accepted;accepted
acceptable;kabul edilebilir;-;-;-
access;erişim / erişmek;access;accessed;accessed
accident;kaza;-;-;-
accommodation;konaklama;-;-;-
accompany;eşlik etmek;accompany;accompanied;accompanied
according to;göre;-;-;-
account;hesap;account;accounted;accounted
accurate;doğru, kesin;-;-;-
accuse;suçlamak;accuse;accused;accused
achieve;başarmak;achieve;achieved;achieved
achievement;başarı;-;-;-
acknowledge;kabul etmek;acknowledge;acknowledged;acknowledged
acquire;elde etmek;acquire;acquired;acquired
across;karşısında;-;-;-
act;davranmak, eylem;act;acted;acted
action;aksiyon;-;-;-
active;aktif;-;-;-
activity;aktivite;-;-;-
actor;erkek oyuncu;-;-;-
actress;kadın oyuncu;-;-;-
actual;gerçek;-;-;-
actually;aslında;-;-;-
ad;reklam;-;-;-
adapt;uyum sağlamak;adapt;adapted;adapted
add;eklemek;add;added;added
addition;ekleme;-;-;-
additional;ek, ilave;-;-;-
address;adres, hitap etmek;address;addressed;addressed
administration;yönetim, idare;-;-;-
admire;hayran olmak;admire;admired;admired
admit;kabul etmek, itiraf etmek;admit;admitted;admitted
adopt;benimsemek, evlat edinmek;adopt;adopted;adopted
adult;yetişkin;-;-;-
advance;ilerleme, ilerlemek;advance;advanced;advanced
advanced;ileri düzey;-;-;-
advantage;avantaj;-;-;-
adventure;macera;-;-;-
advertise;reklamını yapmak;advertise;advertised;advertised
advertisement;reklam;-;-;-
advertising;reklamcılık;-;-;-
advice;öğüt, tavsiye;-;-;-
advise;tavsiye etmek;advise;advised;advised
affair;olay, ilişki;-;-;-
affect;etkilemek;affect;affected;affected
afford;gücü yetmek;afford;afforded;afforded
afraid;korkmuş;-;-;-
after;sonra;-;-;-
afternoon;öğleden sonra;-;-;-
afterwards;daha sonra;-;-;-
again;tekrar;-;-;-
against;karşı;-;-;-
age;yaş, yaşlanmak;age;aged;aged
aged;yaşlı;-;-;-
agency;ajans;-;-;-
agenda;gündem;-;-;-
agent;acente, ajan;-;-;-
aggressive;saldırgan;-;-;-
ago;önce;-;-;-
agree;aynı fikirde olmak;agree;agreed;agreed
agreement;anlaşma;-;-;-
ah;ah;-;-;-
ahead;ileride;-;-;-
aid;yardım;aid;aided;aided
aim;hedeflemek, amaç;aim;aimed;aimed
air;hava;-;-;-
aircraft;uçak;-;-;-
airline;havayolu;-;-;-
airport;havaalanı;-;-;-
alarm;alarm;alarm;alarmed;alarmed
album;albüm;-;-;-
alcohol;alkol;-;-;-
alcoholic;alkollü;-;-;-
alive;canlı, hayatta;-;-;-
all;tüm, hepsi;-;-;-
all right;tamam, iyi;-;-;-
allow;izin vermek;allow;allowed;allowed
almost;neredeyse;-;-;-
alone;yalnız;-;-;-
along;boyunca;-;-;-
already;zaten;-;-;-
also;ayrıca;-;-;-
